name,artists,emotion,Topic_distr_0,Topic_distr_1,Topic_distr_2,Topic_distr_3,Topic_distr_4,Topic_distr_5,Topic_distr_6
They Want War,U.D.O.,disgust,0.02274147793650627,0.8635494,0.022740066051483154,0.02274080365896225,0.022740786895155907,0.022743312641978264,0.022744150832295418
Cry,The Machine In The Garden,sadness,0.0354856476187706,0.78708214,0.03548254072666168,0.035489585250616074,0.03548409417271614,0.035488903522491455,0.035487622022628784
Know Better (feat. Mister Blonde),JayKode,fear,0.02453136257827282,0.852813,0.024529321119189262,0.024529749527573586,0.024530190974473953,0.024533186107873917,0.024533234536647797
Baltimore,The Drifters,sadness,0.14141011238098145,0.7504851,0.021616246551275253,0.021611230447888374,0.021625544875860214,0.02161329612135887,0.02167467400431633
This Goodbye,Beth Crowley,sadness,0.019910303875803947,0.88053876,0.01990916207432747,0.01990956813097,0.019909434020519257,0.01991170085966587,0.019910844042897224
Took My Place,Third Day,joy,0.024449702352285385,0.8533012,0.024448147043585777,0.024448653683066368,0.024448642507195473,0.02445163019001484,0.02445198968052864
Bohemian Rhapsody - Operatic Section / 2011 A Cappella Mix,Queen,fear,0.03007407858967781,0.25835827,0.030072500929236412,0.5912705659866333,0.030072733759880066,0.030081989243626595,0.030084077268838882
Thorn Palace,WVRM,sadness,0.016679072752594948,0.9004121,0.016578329727053642,0.016577964648604393,0.016577694565057755,0.016585491597652435,0.016580116003751755
Pieces,Andrew Belle,sadness,0.032202452421188354,0.8067826,0.03219853714108467,0.03221132978796959,0.032199349254369736,0.03220234811306,0.03220244124531746
Summertime Blues,Rush,anger,0.021946381777524948,0.86831474,0.02194628305733204,0.021945875138044357,0.02194608747959137,0.021951764822006226,0.021948831155896187
Citizen of Hell,Wrong Answer,fear,0.02073645032942295,0.699866,0.020721154287457466,0.02072751708328724,0.020725175738334656,0.020988259464502335,0.1962834596633911
The Daily Mail,Radiohead,fear,0.021272748708724976,0.8723615,0.021271837875247,0.021272709593176842,0.02127191051840782,0.021275300532579422,0.021273966878652573
King of Fallen Grace,Bloodbound,sadness,0.022862596437335014,0.8628206,0.02286115288734436,0.022861769422888756,0.022861482575535774,0.022864913567900658,0.022867463529109955
Jugg,KillBunk,sadness,0.1230902150273323,0.79219466,0.016908766701817513,0.016906745731830597,0.01690700091421604,0.016909951344132423,0.016977956518530846
Bring It on Golden Pond,Pretty Girls Make Graves,neutral,0.048078641295433044,0.7115318,0.048073749989271164,0.04807397350668907,0.04807467386126518,0.04808416962623596,0.04808333143591881
Curtain Calls,We Are The Union,neutral,0.0189300999045372,0.8864098,0.018929369747638702,0.018929623067378998,0.018929878249764442,0.01893407106399536,0.018937187269330025
"50 Ways To Leave Your Lover - Live at Webster Hall, New York City - June 2011",Paul Simon,neutral,0.0210468377918005,0.6600899,0.021024398505687714,0.23469384014606476,0.021024756133556366,0.02102717012166977,0.02102602832019329
Megumi The Milkyway Above,Connan Mockasin,joy,0.2972627282142639,0.58969015,0.022606713697314262,0.02260630950331688,0.02261185087263584,0.02261342853307724,0.022609015926718712
The Grits (featuring 8-Off) (feat. 8-OFF),"Cappadonna, 8-Off",joy,0.013000627048313618,0.9223088,0.012938646599650383,0.012946831062436104,0.01293262094259262,0.012936149723827839,0.012935314327478409
Street Dreams,Eshon Burgundy,anger,0.020754113793373108,0.8753314,0.020752854645252228,0.020754968747496605,0.02075350657105446,0.020757140591740608,0.020897680893540382
History,Wolves At The Gate,sadness,0.02208518423140049,0.86749405,0.02208266593515873,0.022083623334765434,0.022083858028054237,0.022085612639784813,0.022085051983594894
If That Ain't Country (Part 2),David Allan Coe,neutral,0.011559894308447838,0.9303315,0.011560004204511642,0.011560643091797829,0.011631060391664505,0.011585605330765247,0.011742581613361835
At Least I'm Honest,TIGER BABY,anger,0.02517811395227909,0.84893,0.02517659030854702,0.0251772478222847,0.025177331641316414,0.025180477648973465,0.02518005669116974
To Each His Own,Marty Robbins,joy,0.023912949487566948,0.8565212,0.023911496624350548,0.023912137374281883,0.02391202561557293,0.023915359750390053,0.023914454504847527
Freakshow,The Honeydogs,joy,0.02564372308552265,0.66014254,0.025539444759488106,0.02553740330040455,0.02556946687400341,0.21157601475715637,0.025785407051444054
Diamonds,Basement Revolver,anger,0.026459472253918648,0.8412431,0.026457389816641808,0.02645809017121792,0.02645779401063919,0.026462092995643616,0.026461225003004074
The Triangle,Deceased…,sadness,0.016753364354372025,0.8216783,0.016755009070038795,0.01695345714688301,0.01675398275256157,0.01675579510629177,0.09434325248003006
No Fire,"Protostar, Mako, Rachel Hirons",anger,0.022659434005618095,0.8640456,0.02265668287873268,0.02265695296227932,0.022661956027150154,0.022660529240965843,0.022658824920654297
Scrabble,Young Paperboyz,joy,0.02885865420103073,0.6092979,0.02880343422293663,0.24661538004875183,0.02879251353442669,0.028817569836974144,0.02881132811307907
The Colonial Wing,"10, 000 Maniacs",joy,0.014759027399122715,0.5948167,0.01505800150334835,0.33109527826309204,0.01472995150834322,0.014727458357810974,0.014812301844358444
Rave Un2 the Joy Fantastic,Prince,joy,0.03774136304855347,0.47258177,0.03767598792910576,0.03781738132238388,0.03903071582317352,0.03908471018075943,0.3363117575645447
Imagination a Dream (feat. Bettie Ward),"Adventure Time, Bettie Ward",joy,0.04293772205710411,0.21228907,0.04292843118309975,0.5722628831863403,0.04372597858309746,0.04294196888804436,0.042946167290210724
Role Play,Yo Trane,sadness,0.019609088078141212,0.8823479,0.019607294350862503,0.01960798166692257,0.019607800990343094,0.019609911367297173,0.019609985873103142
Close Up The Honky-Tonks,The Flying Burrito Brothers,sadness,0.03292489051818848,0.8024496,0.03292354196310043,0.03292378410696983,0.03292389214038849,0.032928623259067535,0.03292582556605339
Feelings,Shirley Bassey,sadness,0.03352069854736328,0.79887915,0.03351767733693123,0.033518824726343155,0.03351874649524689,0.033523689955472946,0.03352119401097298
I Would Go,Smoosh,fear,0.029528247192502022,0.68982744,0.029529836028814316,0.029526304453611374,0.16250289976596832,0.02952996827661991,0.029528427869081497
Somewhere In Hollywood,10cc,joy,0.017717700451612473,0.59493846,0.017740925773978233,0.017646366730332375,0.017648696899414062,0.017729224637150764,0.3165840208530426
Happy Unhappy,The Beths,fear,0.018068039789795876,0.89146346,0.01806616596877575,0.01807807944715023,0.018066460266709328,0.01815101131796837,0.018106892704963684
True Lies,The New Division,fear,0.024951672181487083,0.85029376,0.024949630722403526,0.024950221180915833,0.02495007961988449,0.024952901527285576,0.02495161071419716
Papa Don't Take No Mess,James Brown,joy,0.042170800268650055,0.7443478,0.04217087849974632,0.04454239830374718,0.04245694726705551,0.042190372943878174,0.042173828929662704
Polish Girl,Neon Indian,neutral,0.07422555238008499,0.81533056,0.02206716313958168,0.022072123363614082,0.022084876894950867,0.022066239267587662,0.02215420827269554
Paint Yourself Pretty,Crayon Jones,joy,0.022623572498559952,0.86425805,0.022622408345341682,0.02262270636856556,0.022622905671596527,0.022625762969255447,0.022624382749199867
1999,"David Bay, gome",sadness,0.043687738478183746,0.73787314,0.04368472471833229,0.04368551820516586,0.04368535056710243,0.0436941459774971,0.04368940740823746
miserabile visu {ex malo bonum},Anberlin,sadness,0.0201665461063385,0.87898815,0.020165450870990753,0.020174561068415642,0.02016592025756836,0.020168861374258995,0.02017052285373211
Out Of My Way,RIMON,fear,0.02452796697616577,0.8501743,0.024538490921258926,0.02452951669692993,0.024525228887796402,0.02685713768005371,0.02484249882400036
Apple Tree Wassail,The Dreadnoughts,joy,0.0304043460637331,0.6923317,0.030459586530923843,0.03040350042283535,0.03041895106434822,0.15549799799919128,0.03041098266839981
"Rainbow In Your Eye - Live, 1977",Al Jarreau,joy,0.02017250470817089,0.8785879,0.020540347322821617,0.02017299458384514,0.02017158269882202,0.020176177844405174,0.020175961777567863
A Few More Kisses To Go - Single Version,Isaac Hayes,joy,0.01865040510892868,0.8880972,0.018649201840162277,0.018649671226739883,0.018649542704224586,0.018652692437171936,0.018651288002729416
Baby Mine,Frank Churchill,joy,0.028175465762615204,0.8309451,0.028174031525850296,0.02817481942474842,0.028174350038170815,0.028179246932268143,0.028177162632346153
Diana,Guantanamo Baywatch,joy,0.029894957318902016,0.8206289,0.029893621802330017,0.029894761741161346,0.02989409863948822,0.029897037893533707,0.02989695779979229
Lay Your Body Down - 2003 Digital Remaster,Poison,joy,0.01748894341289997,0.8950679,0.017488066107034683,0.017487963661551476,0.017487885430455208,0.017489608377218246,0.017489442601799965
Phone Call To God,Brett Eldredge,joy,0.02721307799220085,0.83664393,0.027212074026465416,0.027212342247366905,0.02721245028078556,0.027214664965867996,0.02729145623743534
Welcome to Macabria,Theatres Des Vampires,sadness,0.023496398702263832,0.85895264,0.023499837145209312,0.02349563129246235,0.023558320477604866,0.02350057102739811,0.02349860593676567
RAVN,SNAILS,joy,0.060023508965969086,0.63985705,0.06001848354935646,0.06002473831176758,0.06002072989940643,0.06002653390169144,0.06002900004386902
Young at Heart,Jimmy Durante,joy,0.022865798324346542,0.8628171,0.022862032055854797,0.02286246046423912,0.022862307727336884,0.02286597527563572,0.02286452054977417
Vesuvius I,Moon Tooth,anger,0.022077593952417374,0.82030785,0.022060513496398926,0.06937506794929504,0.022057976573705673,0.022062677890062332,0.02206074260175228
I See You Lord,Various Artists,joy,0.028077129274606705,0.8315147,0.028075559064745903,0.02807634137570858,0.028076080605387688,0.028077999129891396,0.028102507814764977
Ballad of Mark Jarareuse,Ian Tamblyn,joy,0.023986810818314552,0.66086483,0.023984858766198158,0.023985743522644043,0.023988354951143265,0.21921569108963013,0.023990370333194733
Diamonds And Rust - Live,Joan Baez,neutral,0.01716935820877552,0.8967543,0.017183776944875717,0.0171702541410923,0.01717197149991989,0.017177797853946686,0.017371991649270058
Oh I Wept,Free,sadness,0.025761760771274567,0.8454346,0.025759639218449593,0.02575993724167347,0.025760095566511154,0.0257622841745615,0.02576163411140442
Back In Office,Mayorkun,joy,0.026197174564003944,0.48183915,0.026171982288360596,0.026180662214756012,0.026172824203968048,0.026262430474162102,0.38710787892341614
Basswall - Album Edit,Zatox,anger,0.03930605202913284,0.7641424,0.03930818289518356,0.039315320551395416,0.03930509090423584,0.039306920021772385,0.03931604325771332
What Do You Want From Life,The Tubes,neutral,0.38591092824935913,0.55270934,0.01225316897034645,0.012257618829607964,0.012251852080225945,0.012294975109398365,0.012322583235800266
Whisky Psycho Hellions,Wolf,anger,0.02389395609498024,0.85662174,0.023894833400845528,0.02389291115105152,0.023901602253317833,0.023894358426332474,0.023900585249066353
Once In A Lifetime Love,Alan Jackson,joy,0.028485935181379318,0.8290861,0.02848423644900322,0.0284848902374506,0.02848466858267784,0.028487348929047585,0.028486816212534904
First I'm Sorry,Haley Heynderickx,sadness,0.02624179795384407,0.84254533,0.026240872219204903,0.02624223567545414,0.026241224259138107,0.02624327316880226,0.026245171204209328
Heart Less,A Day To Remember,anger,0.015741730108857155,0.9055495,0.01574070006608963,0.015741022303700447,0.015741076320409775,0.01574321649968624,0.015742704272270203
Sooner Or later,Rise Against,fear,0.02709357440471649,0.83747673,0.02708120085299015,0.02708066813647747,0.02708049863576889,0.027102654799818993,0.027084628120064735
Accountable,Amtrac,sadness,0.03783675283193588,0.7729807,0.03783402219414711,0.0378350131213665,0.0378347672522068,0.037840183824300766,0.03783843293786049
Can Anyone Explain?,Louis Armstrong,joy,0.028142394497990608,0.83114064,0.028140977025032043,0.02814130298793316,0.028141437098383904,0.02814392000436783,0.028150511905550957
Sun Goes Down,Fabian Mazur,joy,0.05183330923318863,0.6890019,0.05182896554470062,0.05183101445436478,0.051835495978593826,0.05183616280555725,0.051833122968673706
Life Short Call Now,Jimmy Buffett,joy,0.16407832503318787,0.73089653,0.0210590697824955,0.021026350557804108,0.02100498601794243,0.02103990875184536,0.02101004309952259
This Bed,Alicia Keys,sadness,0.02408648654818535,0.8554784,0.024085067212581635,0.024086160585284233,0.024085968732833862,0.02408844418823719,0.024089859798550606
Turn up the Radio,Autograph,joy,0.03339217230677605,0.7996547,0.033388905227184296,0.0333915650844574,0.03338944539427757,0.03339238092303276,0.03339130058884621
One,Hercules & Love Affair,joy,0.023331670090556145,0.8586298,0.024923009797930717,0.023245524615049362,0.023244239389896393,0.023249182850122452,0.023296501487493515
Swearin' To God,Frankie Valli & The Four Seasons,joy,0.042765017598867416,0.46109855,0.04276055470108986,0.042762164026498795,0.325038343667984,0.042783576995134354,0.042790818959474564
Right Now,Asking Alexandria,sadness,0.026187332347035408,0.8428811,0.026183880865573883,0.026184620335698128,0.026185253635048866,0.02618846856057644,0.026189446449279785
First Thing I Reach For,Ashley McBryde,anger,0.02361610159277916,0.8583031,0.023614706471562386,0.02361520566046238,0.023615684360265732,0.023617779836058617,0.023617472499608994
Stick in the Eye,MOSSOM,sadness,0.030663875862956047,0.7720477,0.030670173466205597,0.030670326203107834,0.030661970376968384,0.030666319653391838,0.07430193573236465
Me & You,Cyber,joy,0.04482636973261833,0.7310432,0.044824253767728806,0.04482477158308029,0.044824641197919846,0.04482872039079666,0.04482784867286682
I Will - Take 13,The Beatles,joy,0.14409638941287994,0.75107485,0.020966285839676857,0.020968372002243996,0.02096935361623764,0.020969517529010773,0.020969118922948837
Holly Wood Died,Yellowcard,neutral,0.021596914157271385,0.87041897,0.021595548838377,0.02159600891172886,0.021595865488052368,0.021598875522613525,0.021597834303975105
Tropical Depression,The Night Marchers,joy,0.020283468067646027,0.880868,0.019770445302128792,0.01977069117128849,0.01977025903761387,0.019771793857216835,0.019771991297602654
Talking to Yourself,Carly Rae Jepsen,anger,0.032394953072071075,0.8056281,0.03239322081208229,0.032394636422395706,0.03239433839917183,0.03239825740456581,0.032396458089351654
White Rose Of Athens,Nana Mouskouri,sadness,0.030975213274359703,0.81414616,0.03097391501069069,0.030974706634879112,0.030975840985774994,0.030977822840213776,0.030976595357060432
Crap Rap 2 / Like to Blow,The Fall,joy,0.021946830675005913,0.78122693,0.022060927003622055,0.021946029737591743,0.021935708820819855,0.10894119739532471,0.021965745836496353
Surfer's Hymn,Panda Bear,fear,0.0207629706710577,0.87542486,0.02076120674610138,0.020761638879776,0.020761536434292793,0.020764101296663284,0.02076367661356926
This Is My Commandment,Cedarmont Kids,joy,0.043847717344760895,0.73689264,0.043854765594005585,0.04384593665599823,0.04384536296129227,0.04384979233145714,0.043862778693437576
Better Still,St. South,fear,0.021993417292833328,0.8680335,0.021992307156324387,0.021996695548295975,0.021992644295096397,0.02199464850127697,0.02199675887823105
Rudolph The Red-Nosed Reindeer,Ella Fitzgerald,joy,0.029202939942479134,0.2792984,0.029180411249399185,0.029180241748690605,0.029181109741330147,0.029184887185692787,0.5745854377746582
Joy And Pain - Remastered,"Maze, Frankie Beverly",joy,0.030251193791627884,0.8184882,0.03024960309267044,0.030249759554862976,0.030250072479248047,0.03025263547897339,0.030259994789958
B.S.F.B.D.,Rome Hero Foxes,sadness,0.018093159422278404,0.891442,0.018091948702931404,0.018092304468154907,0.0180923193693161,0.018094385042786598,0.018094193190336227
Dreaming,Mavado,fear,0.023432021960616112,0.64049995,0.02346501685678959,0.023413166403770447,0.023420970886945724,0.0234468225389719,0.2423333376646042
State of Grace,Billy Joel,joy,0.0245236586779356,0.8528591,0.024522174149751663,0.024522650986909866,0.02452261932194233,0.024525249376893044,0.024524515494704247
Rave in the Grave,REDZED,anger,0.018573185428977013,0.888474,0.01857084408402443,0.018585849553346634,0.01857093721628189,0.018573597073554993,0.018653547391295433
Who Am I,Peace Orchestra,joy,0.027754545211791992,0.8334777,0.027752000838518143,0.027752721682190895,0.027752937749028206,0.027755919843912125,0.02775431238114834
Fables,Macbeth,joy,0.016170436516404152,0.9027767,0.016172276809811592,0.016233151778578758,0.016167540103197098,0.016307806596159935,0.016170598566532135
</c0de>,Motionless In White,joy,0.01966945081949234,0.8818492,0.019668489694595337,0.019706159830093384,0.01966961659491062,0.019752204418182373,0.01967264898121357
Strict Machine - Benny Benassi Sfaction Extended Mix,Goldfrapp,joy,0.03615495190024376,0.7830532,0.036153394728899,0.036153726279735565,0.036170594394207,0.036158133298158646,0.03615604341030121
Valhalla Rock,Iron Kobra,joy,0.021300913766026497,0.67492014,0.021284600719809532,0.021281054243445396,0.02127980627119541,0.2186814546585083,0.02129502221941948
Salt Paradise,White Ward,joy,0.022192111238837242,0.8157661,0.02224741317331791,0.02219952456653118,0.022203383967280388,0.022190596908330917,0.07324984669685364
Michigan Boys Need to Get a Clue,Fireworks,anger,0.019650014117360115,0.8821021,0.019648414105176926,0.01964891329407692,0.01964876614511013,0.01965114288032055,0.01965068280696869
When I Look Into Your Eyes,khai dreams,joy,0.017700623720884323,0.8937958,0.017699625343084335,0.017700010910630226,0.017699869349598885,0.01770130917429924,0.017702342942357063
Patches,Jerry Reed,sadness,0.02914268709719181,0.678419,0.02914060465991497,0.02915152534842491,0.029142169281840324,0.029145129024982452,0.1758420616388321
Ain't Nobody (Loves Me Better),Various Artists,joy,0.020758850499987602,0.8754442,0.02075953222811222,0.020758353173732758,0.020758040249347687,0.020760439336299896,0.02076081372797489
Land Of Pleasure,Sticky Fingers,joy,0.028473710641264915,0.8291766,0.028468741104006767,0.028468789532780647,0.028468219563364983,0.028472669422626495,0.028471242636442184
Silver Bullet,De La Muerte,anger,0.018916860222816467,0.8865042,0.018936339765787125,0.018909571692347527,0.01890941523015499,0.018911782652139664,0.018911834806203842
We Love You,The Rolling Stones,joy,0.03295258432626724,0.8027374,0.0328465960919857,0.032858166843652725,0.03285545855760574,0.03285062685608864,0.03289194032549858
Stay Gone - Live,The Get Up Kids,sadness,0.022344158962368965,0.75842893,0.12995678186416626,0.022303637117147446,0.02230203151702881,0.02230970561504364,0.02230587601661682
Benediction,Darling Violetta,sadness,0.025322921574115753,0.84806687,0.025320306420326233,0.025320814922451973,0.025320906192064285,0.02532440423965454,0.025323612615466118
Home,Excision,sadness,0.033025726675987244,0.8018465,0.033022694289684296,0.0330238901078701,0.03302370384335518,0.03302927315235138,0.03302852436900139
"Pardon Me - Live at Nippon Budokan, Tokyo, Japan - March 2004",Incubus,joy,0.031745217740535736,0.8106062,0.03155447915196419,0.031513046473264694,0.03155580908060074,0.03151526302099228,0.031517818570137024
Stood A Chance,Taking Back Sunday,sadness,0.02998347394168377,0.820111,0.02998022921383381,0.029979078099131584,0.029979312792420387,0.029982587322592735,0.0299833994358778
Man on Fire/Heatman,The Megas,joy,0.02620653435587883,0.64344525,0.02619895525276661,0.22553762793540955,0.02619914710521698,0.026207590475678444,0.0262035820633173
The Fountain Of Lamneth,Rush,joy,0.010465339757502079,0.9369501,0.01054218877106905,0.010592023842036724,0.01045979093760252,0.010520695708692074,0.010466456413269043
Hand in Hand - Bonus Track,The Presidents Of The United States Of America,joy,0.04345344379544258,0.73927975,0.04344930127263069,0.04345468804240227,0.04345010593533516,0.04345875233411789,0.043453849852085114
Only Superstition,Coldplay,fear,0.20656611025333405,0.65474194,0.027745932340621948,0.027753977105021477,0.027727458626031876,0.027730831876397133,0.027730921283364296
Forces (feat. Airling),Japanese Wallpaper,sadness,0.027643240988254547,0.83408356,0.027641670778393745,0.027642104774713516,0.02764257788658142,0.02770213782787323,0.02764386124908924
Mo' Thug Family Tree,Bone Thugs-N-Harmony,joy,0.024575166404247284,0.8523628,0.024571789428591728,0.024572420865297318,0.024725450202822685,0.024577880278229713,0.02461770735681057
